"cod","lon","lat","mes","prec_wc"
83488,-42.85,-17.85,1,213
83488,-42.85,-17.85,2,126
83488,-42.85,-17.85,3,146
83488,-42.85,-17.85,4,67
83488,-42.85,-17.85,5,24
83488,-42.85,-17.85,6,8
83488,-42.85,-17.85,7,11
83488,-42.85,-17.85,8,10
83488,-42.85,-17.85,9,35
83488,-42.85,-17.85,10,111
83488,-42.85,-17.85,11,210
83488,-42.85,-17.85,12,259
83538,-43.64,-18.23,1,288
83538,-43.64,-18.23,2,138
83538,-43.64,-18.23,3,172
83538,-43.64,-18.23,4,77
83538,-43.64,-18.23,5,27
83538,-43.64,-18.23,6,8
83538,-43.64,-18.23,7,8
83538,-43.64,-18.23,8,14
83538,-43.64,-18.23,9,42
83538,-43.64,-18.23,10,122
83538,-43.64,-18.23,11,229
83538,-43.64,-18.23,12,269
83550,-39.85,-18.7,1,157
83550,-39.85,-18.7,2,86
83550,-39.85,-18.7,3,116
83550,-39.85,-18.7,4,95
83550,-39.85,-18.7,5,59
83550,-39.85,-18.7,6,45
83550,-39.85,-18.7,7,64
83550,-39.85,-18.7,8,55
83550,-39.85,-18.7,9,77
83550,-39.85,-18.7,10,139
83550,-39.85,-18.7,11,170
83550,-39.85,-18.7,12,162
83589,-43.43,-19.02,1,263
83589,-43.43,-19.02,2,166
83589,-43.43,-19.02,3,169
83589,-43.43,-19.02,4,86
83589,-43.43,-19.02,5,34
83589,-43.43,-19.02,6,14
83589,-43.43,-19.02,7,12
83589,-43.43,-19.02,8,15
83589,-43.43,-19.02,9,45
83589,-43.43,-19.02,10,124
83589,-43.43,-19.02,11,244
83589,-43.43,-19.02,12,293
83592,-42.13,-19.73,1,216
83592,-42.13,-19.73,2,126
83592,-42.13,-19.73,3,145
83592,-42.13,-19.73,4,82
83592,-42.13,-19.73,5,43
83592,-42.13,-19.73,6,18
83592,-42.13,-19.73,7,25
83592,-42.13,-19.73,8,29
83592,-42.13,-19.73,9,64
83592,-42.13,-19.73,10,126
83592,-42.13,-19.73,11,205
83592,-42.13,-19.73,12,233
83595,-41.07,-19.49,1,176
83595,-41.07,-19.49,2,91
83595,-41.07,-19.49,3,115
83595,-41.07,-19.49,4,73
83595,-41.07,-19.49,5,41
83595,-41.07,-19.49,6,24
83595,-41.07,-19.49,7,32
83595,-41.07,-19.49,8,34
83595,-41.07,-19.49,9,56
83595,-41.07,-19.49,10,124
83595,-41.07,-19.49,11,192
83595,-41.07,-19.49,12,193
83639,-41.9,-20.51,1,214
83639,-41.9,-20.51,2,127
83639,-41.9,-20.51,3,135
83639,-41.9,-20.51,4,78
83639,-41.9,-20.51,5,45
83639,-41.9,-20.51,6,20
83639,-41.9,-20.51,7,25
83639,-41.9,-20.51,8,28
83639,-41.9,-20.51,9,55
83639,-41.9,-20.51,10,126
83639,-41.9,-20.51,11,200
83639,-41.9,-20.51,12,226
83642,-42.86,-20.76,1,216
83642,-42.86,-20.76,2,157
83642,-42.86,-20.76,3,134
83642,-42.86,-20.76,4,59
83642,-42.86,-20.76,5,33
83642,-42.86,-20.76,6,20
83642,-42.86,-20.76,7,23
83642,-42.86,-20.76,8,20
83642,-42.86,-20.76,9,54
83642,-42.86,-20.76,10,115
83642,-42.86,-20.76,11,205
83642,-42.86,-20.76,12,251
83648,-40.31,-20.31,1,147
83648,-40.31,-20.31,2,79
83648,-40.31,-20.31,3,116
83648,-40.31,-20.31,4,99
83648,-40.31,-20.31,5,66
83648,-40.31,-20.31,6,64
83648,-40.31,-20.31,7,59
83648,-40.31,-20.31,8,57
83648,-40.31,-20.31,9,78
83648,-40.31,-20.31,10,138
83648,-40.31,-20.31,11,197
83648,-40.31,-20.31,12,188
83695,-41.9,-21.2,1,186
83695,-41.9,-21.2,2,144
83695,-41.9,-21.2,3,121
83695,-41.9,-21.2,4,66
83695,-41.9,-21.2,5,41
83695,-41.9,-21.2,6,31
83695,-41.9,-21.2,7,17
83695,-41.9,-21.2,8,26
83695,-41.9,-21.2,9,42
83695,-41.9,-21.2,10,117
83695,-41.9,-21.2,11,178
83695,-41.9,-21.2,12,217
