"cod","lon","lat","mes","tasmax_wc"
83488,-42.85,-17.85,1,27.4265003204346
83488,-42.85,-17.85,2,27.6965007781982
83488,-42.85,-17.85,3,27.3042507171631
83488,-42.85,-17.85,4,26.0387496948242
83488,-42.85,-17.85,5,27.6539993286133
83488,-42.85,-17.85,6,23.6644992828369
83488,-42.85,-17.85,7,23.0752506256104
83488,-42.85,-17.85,8,24.4357509613037
83488,-42.85,-17.85,9,25.33424949646
83488,-42.85,-17.85,10,26.2465000152588
83488,-42.85,-17.85,11,26.1399993896484
83488,-42.85,-17.85,12,26.7212505340576
83538,-43.64,-18.23,1,25.7957496643066
83538,-43.64,-18.23,2,25.6420001983643
83538,-43.64,-18.23,3,25.1720008850098
83538,-43.64,-18.23,4,23.9409999847412
83538,-43.64,-18.23,5,23.3899993896484
83538,-43.64,-18.23,6,22.0092506408691
83538,-43.64,-18.23,7,21.5170001983643
83538,-43.64,-18.23,8,22.9532508850098
83538,-43.64,-18.23,9,23.7707500457764
83538,-43.64,-18.23,10,24.6207504272461
83538,-43.64,-18.23,11,24.3840007781982
83538,-43.64,-18.23,12,24.8067493438721
83550,-39.85,-18.7,1,30.6079998016357
83550,-39.85,-18.7,2,31.1100006103516
83550,-39.85,-18.7,3,30.7587509155273
83550,-39.85,-18.7,4,29.5580005645752
83550,-39.85,-18.7,5,28.2399997711182
83550,-39.85,-18.7,6,26.75950050354
83550,-39.85,-18.7,7,25.9699993133545
83550,-39.85,-18.7,8,26.357250213623
83550,-39.85,-18.7,9,26.6867504119873
83550,-39.85,-18.7,10,27.6527500152588
83550,-39.85,-18.7,11,28.5702495574951
83550,-39.85,-18.7,12,29.6865005493164
83589,-43.43,-19.02,1,28.3304996490479
83589,-43.43,-19.02,2,28.5125007629395
83589,-43.43,-19.02,3,27.9132499694824
83589,-43.43,-19.02,4,26.5382499694824
83589,-43.43,-19.02,5,25.0830001831055
83589,-43.43,-19.02,6,23.8360004425049
83589,-43.43,-19.02,7,23.2592506408691
83589,-43.43,-19.02,8,25.1877498626709
83589,-43.43,-19.02,9,26.2779998779297
83589,-43.43,-19.02,10,26.9312496185303
83589,-43.43,-19.02,11,26.9839992523193
83589,-43.43,-19.02,12,27.2409992218018
83592,-42.13,-19.73,1,27.5282497406006
83592,-42.13,-19.73,2,27.7250003814697
83592,-42.13,-19.73,3,27.3067493438721
83592,-42.13,-19.73,4,25.9769992828369
83592,-42.13,-19.73,5,24.9365005493164
83592,-42.13,-19.73,6,23.3875007629395
83592,-42.13,-19.73,7,23.0955009460449
83592,-42.13,-19.73,8,24.0294990539551
83592,-42.13,-19.73,9,24.4852504730225
83592,-42.13,-19.73,10,25.52174949646
83592,-42.13,-19.73,11,25.9877490997314
83592,-42.13,-19.73,12,26.4572505950928
83595,-41.07,-19.49,1,31.4342498779297
83595,-41.07,-19.49,2,31.8495006561279
83595,-41.07,-19.49,3,31.548999786377
83595,-41.07,-19.49,4,30.128999710083
83595,-41.07,-19.49,5,28.7670001983643
83595,-41.07,-19.49,6,27.3402500152588
83595,-41.07,-19.49,7,26.9032497406006
83595,-41.07,-19.49,8,27.4325008392334
83595,-41.07,-19.49,9,27.8762493133545
83595,-41.07,-19.49,10,28.6862506866455
83595,-41.07,-19.49,11,29.3672504425049
83595,-41.07,-19.49,12,30.1792507171631
83639,-41.9,-20.51,1,27.4282493591309
83639,-41.9,-20.51,2,27.4842491149902
83639,-41.9,-20.51,3,27.0030002593994
83639,-41.9,-20.51,4,25.6865005493164
83639,-41.9,-20.51,5,24.4987506866455
83639,-41.9,-20.51,6,22.5834999084473
83639,-41.9,-20.51,7,22.0167503356934
83639,-41.9,-20.51,8,22.6322498321533
83639,-41.9,-20.51,9,23.2940006256104
83639,-41.9,-20.51,10,24.4317493438721
83639,-41.9,-20.51,11,25.1434993743896
83639,-41.9,-20.51,12,26.2110004425049
83642,-42.86,-20.76,1,27.7945003509521
83642,-42.86,-20.76,2,28.2880001068115
83642,-42.86,-20.76,3,27.5942497253418
83642,-42.86,-20.76,4,26.0042495727539
83642,-42.86,-20.76,5,24.2807502746582
83642,-42.86,-20.76,6,23.0904998779297
83642,-42.86,-20.76,7,22.5627498626709
83642,-42.86,-20.76,8,24.1662502288818
83642,-42.86,-20.76,9,24.7730007171631
83642,-42.86,-20.76,10,25.9012508392334
83642,-42.86,-20.76,11,25.6662502288818
83642,-42.86,-20.76,12,26.5814990997314
83648,-40.31,-20.31,1,30.4690990447998
83648,-40.31,-20.31,2,30.9763946533203
83648,-40.31,-20.31,3,30.5210304260254
83648,-40.31,-20.31,4,29.1386260986328
83648,-40.31,-20.31,5,27.8210296630859
83648,-40.31,-20.31,6,26.4364814758301
83648,-40.31,-20.31,7,25.6914157867432
83648,-40.31,-20.31,8,25.8978538513184
83648,-40.31,-20.31,9,26.0699577331543
83648,-40.31,-20.31,10,27.22532081604
83648,-40.31,-20.31,11,28.3596572875977
83648,-40.31,-20.31,12,29.5145931243896
83695,-41.9,-21.2,1,31.2959995269775
83695,-41.9,-21.2,2,31.5960006713867
83695,-41.9,-21.2,3,30.8012504577637
83695,-41.9,-21.2,4,29.0725002288818
83695,-41.9,-21.2,5,27.2707500457764
83695,-41.9,-21.2,6,25.9860000610352
83695,-41.9,-21.2,7,25.4475002288818
83695,-41.9,-21.2,8,26.824499130249
83695,-41.9,-21.2,9,27.5440006256104
83695,-41.9,-21.2,10,28.4060001373291
83695,-41.9,-21.2,11,28.9027500152588
83695,-41.9,-21.2,12,29.7465000152588
