"cod","lon","lat","mes","tasmin_wc"
83488,-42.85,-17.85,1,16.2124996185303
83488,-42.85,-17.85,2,16.4144992828369
83488,-42.85,-17.85,3,16.3987503051758
83488,-42.85,-17.85,4,14.8155002593994
83488,-42.85,-17.85,5,15.5364999771118
83488,-42.85,-17.85,6,10.8354997634888
83488,-42.85,-17.85,7,9.94799995422363
83488,-42.85,-17.85,8,10.9460000991821
83488,-42.85,-17.85,9,13.0104999542236
83488,-42.85,-17.85,10,15.1832504272461
83488,-42.85,-17.85,11,15.9817504882812
83488,-42.85,-17.85,12,15.9987497329712
83538,-43.64,-18.23,1,15.2307500839233
83538,-43.64,-18.23,2,15.6960000991821
83538,-43.64,-18.23,3,15.7732496261597
83538,-43.64,-18.23,4,14.1735000610352
83538,-43.64,-18.23,5,12.6549997329712
83538,-43.64,-18.23,6,10.3395004272461
83538,-43.64,-18.23,7,9.52350044250488
83538,-43.64,-18.23,8,10.5662498474121
83538,-43.64,-18.23,9,12.1772499084473
83538,-43.64,-18.23,10,14.1607503890991
83538,-43.64,-18.23,11,15.1820001602173
83538,-43.64,-18.23,12,15.2272500991821
83550,-39.85,-18.7,1,20.9769992828369
83550,-39.85,-18.7,2,21.3099994659424
83550,-39.85,-18.7,3,21.1840000152588
83550,-39.85,-18.7,4,19.7754993438721
83550,-39.85,-18.7,5,18.2590007781982
83550,-39.85,-18.7,6,16.7795009613037
83550,-39.85,-18.7,7,16.0267505645752
83550,-39.85,-18.7,8,16.7997493743896
83550,-39.85,-18.7,9,17.8152503967285
83550,-39.85,-18.7,10,19.3125
83550,-39.85,-18.7,11,20.2229995727539
83550,-39.85,-18.7,12,20.6917495727539
83589,-43.43,-19.02,1,17.0114994049072
83589,-43.43,-19.02,2,17.1532497406006
83589,-43.43,-19.02,3,16.8987503051758
83589,-43.43,-19.02,4,15.0690002441406
83589,-43.43,-19.02,5,12.3827495574951
83589,-43.43,-19.02,6,9.89575004577637
83589,-43.43,-19.02,7,9.30000019073486
83589,-43.43,-19.02,8,10.4119997024536
83589,-43.43,-19.02,9,12.8555002212524
83589,-43.43,-19.02,10,15.3909997940063
83589,-43.43,-19.02,11,16.61549949646
83589,-43.43,-19.02,12,16.8745002746582
83592,-42.13,-19.73,1,16.2002506256104
83592,-42.13,-19.73,2,16.4615001678467
83592,-42.13,-19.73,3,16.0047492980957
83592,-42.13,-19.73,4,13.87024974823
83592,-42.13,-19.73,5,11.4645004272461
83592,-42.13,-19.73,6,9.24199962615967
83592,-42.13,-19.73,7,8.7475004196167
83592,-42.13,-19.73,8,10.03125
83592,-42.13,-19.73,9,12.2709999084473
83592,-42.13,-19.73,10,14.3159999847412
83592,-42.13,-19.73,11,15.4297504425049
83592,-42.13,-19.73,12,15.5587501525879
83595,-41.07,-19.49,1,19.9602508544922
83595,-41.07,-19.49,2,20.3287506103516
83595,-41.07,-19.49,3,19.8487491607666
83595,-41.07,-19.49,4,18.1375007629395
83595,-41.07,-19.49,5,16.1922492980957
83595,-41.07,-19.49,6,14.5952501296997
83595,-41.07,-19.49,7,14.2127504348755
83595,-41.07,-19.49,8,15.5057497024536
83595,-41.07,-19.49,9,17.0464992523193
83595,-41.07,-19.49,10,18.5354995727539
83595,-41.07,-19.49,11,19.3857498168945
83595,-41.07,-19.49,12,19.5270004272461
83639,-41.9,-20.51,1,14.7387504577637
83639,-41.9,-20.51,2,14.8677501678467
83639,-41.9,-20.51,3,14.4685001373291
83639,-41.9,-20.51,4,12.1529998779297
83639,-41.9,-20.51,5,9.60074996948242
83639,-41.9,-20.51,6,7.91200017929077
83639,-41.9,-20.51,7,7.34025001525879
83639,-41.9,-20.51,8,9.08300018310547
83639,-41.9,-20.51,9,10.9377498626709
83639,-41.9,-20.51,10,12.9670000076294
83639,-41.9,-20.51,11,13.9455003738403
83639,-41.9,-20.51,12,14.0782499313354
83642,-42.86,-20.76,1,16.706750869751
83642,-42.86,-20.76,2,16.6337509155273
83642,-42.86,-20.76,3,16.3819999694824
83642,-42.86,-20.76,4,14.339750289917
83642,-42.86,-20.76,5,11.4987497329712
83642,-42.86,-20.76,6,9.37325000762939
83642,-42.86,-20.76,7,8.71024990081787
83642,-42.86,-20.76,8,10.0305004119873
83642,-42.86,-20.76,9,12.357250213623
83642,-42.86,-20.76,10,14.6059999465942
83642,-42.86,-20.76,11,15.3280000686646
83642,-42.86,-20.76,12,16.181999206543
83648,-40.31,-20.31,1,21.3184547424316
83648,-40.31,-20.31,2,21.5085849761963
83648,-40.31,-20.31,3,21.1618022918701
83648,-40.31,-20.31,4,19.5042915344238
83648,-40.31,-20.31,5,17.7326183319092
83648,-40.31,-20.31,6,16.1995697021484
83648,-40.31,-20.31,7,15.6416311264038
83648,-40.31,-20.31,8,16.5128765106201
83648,-40.31,-20.31,9,17.6673812866211
83648,-40.31,-20.31,10,19.0669536590576
83648,-40.31,-20.31,11,20.1193141937256
83648,-40.31,-20.31,12,20.6987113952637
83695,-41.9,-21.2,1,19.6872501373291
83695,-41.9,-21.2,2,19.6634998321533
83695,-41.9,-21.2,3,19.5492496490479
83695,-41.9,-21.2,4,17.6547508239746
83695,-41.9,-21.2,5,15.0299997329712
83695,-41.9,-21.2,6,12.9875001907349
83695,-41.9,-21.2,7,12.2674999237061
83695,-41.9,-21.2,8,13.5457496643066
83695,-41.9,-21.2,9,15.7142496109009
83695,-41.9,-21.2,10,17.4547500610352
83695,-41.9,-21.2,11,18.463249206543
83695,-41.9,-21.2,12,19.2427501678467
